N,relative_err
1,0.22054282838416425
2,0.20273962815619018
3,0.19339160304349481
4,0.1930396080315689
5,0.18377680456276219
6,0.18680132154582268
7,0.18059880468747322
8,0.17479726960848996
9,0.18131627990034943
10,0.18053706281059329
11,0.19175035245136812
12,0.18406428916252246
13,0.18242700477400575
14,0.1896717068295712
15,0.18389140052393568
16,0.17514244748912083
17,0.17563380525001562
18,0.17680771023741135
19,0.17201634638552152
20,0.17309936865896236
21,0.16916553647621835
22,0.17340627688816593
23,0.169206140907341
24,0.1709505153342072
25,0.17707317360317174
26,0.17029997929608148
27,0.17930823506376942
28,0.18270518083601395
29,0.17781395731906646
30,0.18711097750338967
31,0.17936558355099141
32,0.17258397025608063
33,0.17641462978532466
34,0.17376743777756462
35,0.18224904892248903
36,0.17583752778727577
37,0.1740224369567184
38,0.17636650109063734
39,0.17135698067375302
40,0.16882357402642106
41,0.17654584813203986
42,0.18170364715699608
43,0.17513495964289585
44,0.17267974734539254
45,0.1740197960856424
46,0.16906267838745187
47,0.16961539466748854
48,0.17011540739810793
49,0.17893717236722603
50,0.17207327843861206
