N,relative_err
1,0.3086342561947899
2,0.3182677440204397
3,0.3235926327266487
4,0.3272475110091135
5,0.3299819789834508
6,0.33221448243522156
7,0.33404720477532507
8,0.33563813621990995
9,0.33698557432237075
10,0.33819467020827493
11,0.33925463741454404
12,0.34024661260908795
13,0.34107469235806726
14,0.34190256292475757
15,0.3427128903735611
16,0.34326310832821877
17,0.3439049234905526
18,0.34460809432233946
19,0.34519044427998063
20,0.34563271053909084
21,0.34622018390165943
22,0.3466910426650662
23,0.3471244702383348
24,0.34758852642538624
25,0.3480021927318995
26,0.3484408642914314
27,0.3488780465903951
28,0.3491798690687582
29,0.3493489304830312
30,0.3499881108966352
31,0.35017052382667097
32,0.35051016965316617
33,0.35093159276246744
34,0.3510965785159244
35,0.3513644843489363
36,0.3517118431240782
37,0.35191859928242875
38,0.3522154070526466
39,0.352501049494093
40,0.35271468888948876
41,0.35293371057808665
42,0.353324229585146
43,0.35318573579723295
44,0.3538474175469526
45,0.35393211020199733
46,0.35393453554054966
47,0.3542752292114242
48,0.3545156606715862
49,0.35449130653797667
50,0.354925911184539
