N,pre,query
1,0.8565413779999744,0.011986003799995613
2,0.8586345530000017,0.012593849600011706
3,0.8406679139999369,0.013321319700003185
4,0.8519965959999354,0.012111656000001858
5,0.8921261460000096,0.013009819700005209
6,0.8743385819999503,0.013795488699986435
7,0.8642534120000391,0.013875655899983031
8,0.9196329029999788,0.013012244300000477
9,0.9150275929999907,0.011906393499998558
10,0.9087598169999183,0.012515860499991049
11,0.9028530799999999,0.012863428900016061
12,0.9260066919999872,0.012188156600007006
13,0.9132445000000189,0.012496130699992135
14,0.9570374830000219,0.013963270600027045
15,0.9441636000000244,0.01274355270001024
16,0.9110108749999881,0.013092816299990772
17,0.956913487999941,0.012090143399996122
18,0.9807466299999987,0.01362839650001888
19,0.9722163590000719,0.011476076999986162
20,1.0042713280000726,0.012232027599998217
21,0.9786732669999765,0.012471339700005047
22,0.9955080150000413,0.012145840300001962
23,0.99131976700005,0.012212445699992715
24,1.02817776400002,0.012962000600009562
25,1.0340118540000276,0.013863131100015379
26,1.0154887630000076,0.013108291299988648
27,1.0632070739999335,0.0123434374999988
28,1.0558853720000343,0.012042703800000252
29,1.0548320109999167,0.01177270129999215
30,1.066333008000015,0.011920035099990402
31,1.0814410599999746,0.012793545800013817
32,1.073741680000012,0.013164253999991615
33,1.1018084429999817,0.012458908499991138
34,1.112932199999932,0.012980450900010966
35,1.1215795630000684,0.012455980399988674
36,1.1345991890000278,0.013051198200025739
37,1.145307095000021,0.012469389000011688
38,1.158411239999964,0.012732176200040612
39,1.1375842600000396,0.01216236000001345
40,1.1523685959999739,0.012633281300020371
41,1.1455745889999207,0.012971740400007547
42,1.1848935760000359,0.013150131099985174
43,1.153047117999904,0.013068712100016455
44,1.2207740620000322,0.012433416900000794
45,1.2334832949999281,0.013048134100017705
46,1.21072195499994,0.012697786199998973
47,1.1825659780000706,0.012723767499994664
48,1.222299367000005,0.012804873200002474
49,1.265211206999993,0.012624077400016628
50,1.2232442130000436,0.012933862799968665
51,1.2270018480001,0.012713557699999
52,1.2542798590000075,0.01287057500001083
53,1.2621517009999934,0.011799402599967836
54,1.2660508659998868,0.012124450499959492
55,1.3069451139999728,0.01322687379999934
56,1.3090341150000313,0.013165146299979825
57,1.3171021079999718,0.013438532800000756
58,1.3258857910000188,0.012196943400022064
59,1.323018538000042,0.013437181700010114
60,1.3220414180000262,0.012618674499935877
61,1.330037652999863,0.012624507899954552
62,1.3393464769999355,0.01244745960002547
63,1.4829411029998028,0.01205370400000447
64,1.3968484380000064,0.012759317899963207
65,1.378175304000024,0.012333082599980116
66,1.4057032509999772,0.013360476499974537
67,1.3748526910001146,0.01321307790001356
68,1.4032393619997947,0.013021900300032028
69,1.421195945999898,0.013336157499907129
70,1.435449793999851,0.0128960768999832
71,1.4520364679999602,0.012781209100035084
72,1.4482194790000449,0.014889999199999695
73,1.4411621960000502,0.011971430499966117
74,1.4994037779999871,0.012820529099963094
75,1.4816775580000012,0.012823704100037503
76,1.480076100999895,0.012601603699977204
77,1.5229326989999663,0.013146084100003463
78,1.4883825990000332,0.012167358400029115
79,1.5207551240000612,0.012913549500012778
80,1.4908933300000626,0.012985900199987554
81,1.5076066879998962,0.012349645099970984
82,1.5113242329998684,0.012352389799934827
83,1.5285722189998978,0.012869770799943581
84,1.5310144780000883,0.01324195119993874
85,1.5913827370000035,0.01294930189999377
86,1.5542455570000584,0.013014104800026871
87,1.567874662999884,0.012463477100004639
88,1.5826010030000361,0.01285015700000258
89,1.5684235060000447,0.012751960100035832
90,1.5781538789999559,0.013221947500051102
91,1.5993495840000378,0.013245621800024312
92,1.5754981860000044,0.012684418099979666
93,1.5990272389999518,0.012939876599989476
94,1.6125046120000661,0.012806259000012686
95,1.6126386429998547,0.01322057110003243
96,1.6044694009999603,0.012437175299942285
97,1.6106660129999,0.012742337500026223
98,1.6507124029999432,0.01267294420008511
99,1.6524862220001069,0.013131862400041426
100,1.6708926769999835,0.012830263799946805
